record_id,date,bias_score,bias_label,stand_down,structure,disciplined_pnl,counterfactual_pnl,model_verdict,direction_verdict,structure_verdict,evidence_status,evidence_ref,correction_of,notes
acct-20260521-v1,2026-05-21,4,BULLISH,false,defined-risk bullish setup,0,-500,WRONG,MISS,MISS,VERIFIED,gmail:19e4c33894b12e32,,Legacy +4 scale. Published close audit says model wrong; discipline/invalidation held synthetic disciplined P&L to $0; primary held-to-close counterfactual -$500.
acct-20260522-v1,2026-05-22,2,STAND-DOWN,true,stand-down,0,100,MIXED-LEAN-WON,N/A,N/A,VERIFIED,gmail:19e51a0d7754049a,,Legacy +2 scale. Published close audit: disciplined stand-down $0; half-unit counterfactual +$100. Stand-down remains $0 in ledger.
acct-20260526-v1,2026-05-26,3,MODERATELY BULLISH,false,mixed primary+backup,-180,,MIXED/HIT,HIT,MIXED,VERIFIED,gmail:19e66a205b3e766b,,Direction call was right; primary structure lost and backup won; published disciplined combined paper P&L -$180.
acct-20260527-v1,2026-05-27,3,MODERATELY BULLISH,false,bull put credit spread,300,-1000,WON,HIT,HIT,VERIFIED,gmail:19e6bb6f283ff6ac,,Published 1-lot paper P&L +$300. The email also reports a half-size +$150 scenario; this public standardized ledger uses 1-lot synthetic P&L. Backup no-trigger counterfactual -$1000.
acct-20260528-v1,2026-05-28,-1,STAND-DOWN,true,stand-down,0,,STAND-DOWN,N/A,N/A,VERIFIED,github:SPX-Reports/close/2026-05-28.md,,Formal Git close report confirms no model exposure and synthetic P&L $0; actual SPX close data was unavailable in that manual catch-up.
acct-20260821-v1,2026-08-21,0.01,STAND-DOWN,true,stand-down,0,,STAND-DOWN,N/A,N/A,VERIFIED,gmail:1a0246e8c6212baf,,Sent morning analysis explicitly published STAND-DOWN and no trade. Synthetic disciplined P&L is therefore $0 by the model contract. Historical June-August backfill remains incomplete.
acct-20260817-007,2026-08-17,0.11,STAND-DOWN,true,stand-down,0.0,,STAND-DOWN,N/A,N/A,VERIFIED,gmail:1a014fb582ca067f,,"Sent morning STAND-DOWN, composite +0.11. Aug 18 email's own recap: actual SPX -0.52% to 7,745.06 -- sign would have been wrong, but no exposure was taken."
acct-20260818-008,2026-08-18,-0.92,LEAN BEARISH,false,bear_call_spread,,,WON,HIT,HIT,VERIFIED,gmail:1a01a228396bfe01,,"Bear Call 7785/7820 (credit target ~7.0, max loss ~28). Aug 19 email's own recap: SPX closed 7,691.76 (-0.69%), well below the 7785 short strike -- full winner. Exact realized fill/exit price not stated in the sent email, so disciplined_pnl is left blank rather than computed from the pre-trade credit target."
acct-20260819-009,2026-08-19,-0.67,LEAN BEARISH,false,bear_call_spread,,,MIXED,MISS,HIT,VERIFIED,gmail:1a01f47e865cc964,,Bear Call 7735/7775. Aug 20 email's own recap: actual SPX +0.21% -- sign MISS (bearish call on an up day) -- but the trade itself won: short strike (7735) never threatened. Directional miss that did not cost money. disciplined_pnl left blank -- exact fill not stated.
acct-20260820-010,2026-08-20,0.57,LEAN BULLISH,false,bull_put_spread,0.0,,SCRATCH,MISS,SCRATCH,VERIFIED,gmail:1a0246e8c6212baf,,"Bull Put 7640/7605. Aug 21 email's own recap: actual SPX -0.87% to 7,641.16 -- second consecutive sign MISS. Cash settled 1.16pts above the 7,640 short put -- technically worthless for full credit on paper, but the stated invalidation (SPX sustained below ~7,640) was hit intraday on a broad slide, so the model's own text logs this as a SCRATCH, not a win. disciplined_pnl recorded as $0 per that self-classification."
acct-20260824-011,2026-08-24,-0.64,LEAN BEARISH,false,bear_call_spread,,,WON,HIT,HIT,VERIFIED,gmail:1a0390759bb52413,,"Bear Call 7735/7770. Aug 25 email's own recap: actual SPX -0.28% to 7,652.86 -- sign matched, SPX settled 82pts below the short call, spread expired worthless for full credit. disciplined_pnl left blank -- exact fill not stated."
acct-20260825-012,2026-08-25,0.27,STAND-DOWN,true,stand-down,0.0,,STAND-DOWN,N/A,N/A,VERIFIED,gmail:1a03e30ab7dca9bd,,"Composite +0.27 stayed inside the neutral band -- no exposure. Aug 26 email's own recap: actual SPX +0.32% -- the bullish lean pointed correctly, but the band kept the model flat regardless."
acct-20260826-013,2026-08-26,-0.01,STAND-DOWN,true,stand-down,0.0,,STAND-DOWN,N/A,N/A,VERIFIED,gmail:1a04355c7cc1df9a,,"Composite -0.01, dead center of the neutral band. Aug 27 email's own recap: actual SPX -0.02% -- as pinned as predicted."
acct-20260827-014,2026-08-27,0.47,LEAN BULLISH,false,bull_put_spread,,,WON,HIT,HIT,VERIFIED,gmail:1a0487bb70884ca6,,"Bull Put 7625/7585. Aug 28 email's own recap: SPX closed 7,730.99 (+0.72%), spread finished 106pts OTM, would have expired worthless for full credit. disciplined_pnl left blank -- exact fill not stated."
acct-20260828-015,2026-08-28,0.03,STAND-DOWN,true,stand-down,0.0,,STAND-DOWN,N/A,N/A,VERIFIED,gmail:1a0487bb70884ca6,,"Composite +0.03, dead center of the neutral band, with the Fed chair speaking 15 minutes into the session. No exposure taken, so $0 is definitional rather than inferred. No next-day recap exists: no SPX email was published Monday 2026-08-31."
acct-20260901-016,2026-09-01,,LATE RUN -- NO TRADE ISSUED,true,no-trade,0.0,,NO-TRADE,N/A,N/A,VERIFIED,gmail:1a05f8a25a506dd7,,"OPERATIONAL FAILURE, NOT A MODEL STAND-DOWN. The run started 8:29 PM ET, over 10 hours after the ~9:00 AM slot, past both the 9:45 entry window and the 4:00 PM close, so no setup was ever published and no composite was scored. Flagged stand_down=true only because zero exposure was taken and $0 is the correct P&L; it must not be read as the uncertainty gate working. SPX fell 0.71 pct that day on the Iran/Hormuz selloff."
acct-20260902-017,2026-09-02,-1.06,BEARISH,false,bear_call_spread,,,MIXED,MISS,HIT,PARTIAL,gmail:1a0623ad2007d106,,"Bear Call 7690/7730, credit target ~8.0. SPX closed 7,666.60 (+0.46 pct): the bearish sign was wrong, but the close landed 23pts BELOW the 7690 short call, so the spread still expired out-of-the-money. Direction wrong, structure saved it. PARTIAL not VERIFIED: no close-report email or committed close report exists for this day, so the outcome rests on the public index close rather than one of the three evidence sources in SKILL-accountability section 4. disciplined_pnl left blank -- no fill was ever published, and section 4 forbids inferring a spread fill from the index close alone. Upgrade with a correction row if the owner supplies the fill."
acct-20260909-018,2026-09-09,-0.68,LEAN BEARISH,false,bear_call_spread,,,WON,HIT,HIT,VERIFIED,gmail:1a08b6d5cfe40838,,"Bear Call 7725/7765. Sep 10 email's own recap: SPX closed 7,629.00 (-0.58 pct) -- direction matched and the 7725 short call stayed well OTM, full credit kept. disciplined_pnl blank: no fill was published."
